Homogeneous,Core - Shell
0.008004269,0.01458081
0.002001067,0.01460471
0.000889363,0.014628447
0.000500267,0.014651993
0.000320171,0.014675324
0.000222341,0.014698414
0.000163352,0.01472124
0.000125067,0.014743777
9.88E-05,0.014766003
8.00E-05,0.014787895
6.62E-05,0.014809431
5.56E-05,0.01483059
4.74E-05,0.01485135
0.0063021,0.014871691
0.006304377,0.014891594
0.006306805,0.014911037
0.006309385,0.014930004
0.006312114,0.014948473
0.006314994,0.014966428
0.006318022,0.01498385
0.006321198,0.015000722
0.006324522,0.015017026
0.006327993,0.015032747
0.00633161,0.015047867
0.006335372,0.015062371
0.006339279,0.015076244
0.006343329,0.015089469
0.006347523,0.015102034
0.006351859,0.015113923
0.006356337,0.015125122
0.006360956,0.015135619
0.006365714,0.0151454
0.006370613,0.015154452
0.00637565,0.015162765
0.006380824,0.015170325
0.006386136,0.015177121
0.006391584,0.015183144
0.006397168,0.015188382
0.006402886,0.015192825
0.006408738,0.015196465
0.006414723,0.015199292
0.00642084,0.015201297
0.006427089,0.015202473
0.006433468,0.015202813
0.006439977,0.015202308
0.006446614,0.015200952
0.00645338,0.01519874
0.006460273,0.015195665
0.006467291,0.015191723
0.006474435,0.015186908
0.006481703,0.015181217
0.006489095,0.015174646
0.006496609,0.015167192
0.006504244,0.015158852
0.006512,0.015149623
0.006519876,0.015139505
0.00652787,0.015128496
0.006535981,0.015116596
0.006544209,0.015103803
0.006552553,0.015090119
0.006561011,0.015075545
0.006569582,0.01506008
0.006578265,0.015043728
0.00658706,0.015026491
0.006595965,0.01500837
0.006604979,0.01498937
0.0066141,0.014969494
0.006623328,0.014948747
0.006632662,0.014927131
0.0066421,0.014904654
0.006651641,0.01488132
0.006661284,0.014857134
0.006671027,0.014832105
0.00668087,0.014806237
0.006690811,0.014779538
0.006700849,0.014752017
0.006710982,0.01472368
0.006721209,0.014694536
0.006731529,0.014664595
0.006741941,0.014633864
0.006752442,0.014602354
0.006763032,0.014570073
0.006773709,0.014537034
0.006784472,0.014503245
0.006795319,0.014468718
0.006806249,0.014433463
0.00681726,0.014397492
0.006828351,0.014360818
0.006839519,0.01432345
0.006850764,0.014285403
0.006862084,0.014246688
0.006873478,0.014207318
0.006884943,0.014167306
0.006896477,0.014126665
0.00690808,0.014085408
0.00691975,0.014043548
0.006931484,0.0140011
0.006943281,0.013958078
0.006955139,0.013914494
0.006967057,0.013870364
0.006979032,0.013825701
0.006991062,0.01378052
0.007003146,0.013734835
0.007015282,0.013688661
0.007027468,0.013642012
0.007039702,0.013594903
0.007051981,0.013547349
0.007064304,0.013499364
0.007076669,0.013450963
0.007089074,0.013402162
0.007101516,0.013352974
0.007113994,0.013303415
0.007126505,0.013253499
0.007139047,0.013203242
0.007151618,0.013152657
0.007164215,0.01310176
0.007176837,0.013050565
0.007189481,0.012999086
0.007202145,0.012947339
0.007214826,0.012895337
0.007227523,0.012843096
0.007240232,0.012790628
0.007252951,0.012737949
0.007265679,0.012685072
0.007278411,0.012632011
0.007291147,0.01257878
0.007303883,0.012525392
0.007316617,0.012471861
0.007329346,0.012418201
0.007342069,0.012364424
0.007354781,0.012310543
0.007367481,0.012256571
0.007380165,0.012202522
0.007392832,0.012148406
0.007405478,0.012094238
0.007418102,0.012040028
0.007430699,0.011985789
0.007443268,0.011931533
0.007455805,0.01187727
0.007468308,0.011823013
0.007480774,0.011768773
0.0074932,0.01171456
0.007505584,0.011660386
0.007517922,0.01160626
0.007530212,0.011552193
0.00754245,0.011498196
0.007554634,0.011444277
0.007566762,0.011390448
0.007578829,0.011336717
0.007590833,0.011283093
0.007602771,0.011229586
0.007614641,0.011176204
0.007626439,0.011122956
0.007638162,0.011069851
0.007649807,0.011016896
0.007661372,0.0109641
0.007672853,0.01091147
0.007684247,0.010859014
0.007695551,0.010806739
0.007706763,0.010754652
0.00771788,0.01070276
0.007728897,0.01065107
0.007739813,0.010599588
0.007750625,0.010548321
0.007761328,0.010497274
0.007771922,0.010446454
0.007782401,0.010395865
0.007792765,0.010345515
0.007803008,0.010295406
0.00781313,0.010245546
0.007823126,0.010195938
0.007832994,0.010146588
0.007842731,0.010097499
0.007852334,0.010048677
0.0078618,0.010000125
0.007871126,0.009951847
0.00788031,0.009903847
0.007889349,0.009856128
0.00789824,0.009808694
0.00790698,0.009761549
0.007915566,0.009714695
0.007923996,0.009668134
0.007932268,0.009621871
0.007940378,0.009575907
0.007948324,0.009530245
0.007956103,0.009484887
0.007963713,0.009439835
0.007971152,0.009395091
0.007978417,0.009350658
0.007985505,0.009306536
0.007992414,0.009262728
0.007999143,0.009219234
0.008005688,0.009176056
0.008012047,0.009133196
0.008018218,0.009090653
0.0080242,0.00904843
0.00802999,0.009006526
0.008035585,0.008964943
0.008040985,0.00892368
0.008046186,0.00888274
0.008051188,0.008842121
0.008055989,0.008801823
0.008060586,0.008761848
0.008064977,0.008722195
0.008069163,0.008682864
0.00807314,0.008643854
0.008076907,0.008605166
0.008080463,0.008566799
0.008083806,0.008528752
0.008086936,0.008491026
0.00808985,0.008453618
0.008092548,0.008416529
0.008095029,0.008379758
0.008097291,0.008343304
0.008099333,0.008307165
0.008101155,0.008271341
0.008102756,0.008235831
0.008104135,0.008200633
0.008105291,0.008165746
0.008106223,0.008131169
0.008106932,0.0080969
0.008107416,0.008062938
0.008107675,0.008029282
0.008107709,0.007995929
0.008107517,0.007962878
0.008107099,0.007930128
0.008106456,0.007897677
0.008105586,0.007865522
0.00810449,0.007833663
0.008103169,0.007802097
0.008101621,0.007770821
0.008099848,0.007739836
0.008097849,0.007709137
0.008095626,0.007678723
0.008093177,0.007648593
0.008090504,0.007618743
0.008087608,0.007589171
0.008084489,0.007559877
0.008081147,0.007530856
0.008077583,0.007502107
0.008073798,0.007473628
0.008069794,0.007445416
0.00806557,0.007417469
0.008061128,0.007389784
0.008056468,0.007362359
0.008051593,0.007335191
0.008046502,0.007308279
0.008041198,0.007281619
0.00803568,0.007255209
0.008029952,0.007229047
0.008024014,0.007203129
0.008017867,0.007177454
0.008011513,0.007152018
0.008004953,0.00712682
0.007998189,0.007101856
0.007991223,0.007077124
0.007984055,0.007052621
0.007976688,0.007028344
0.007969124,0.007004292
0.007961364,0.00698046
0.007953409,0.006956847
0.007945263,0.00693345
0.007936926,0.006910266
0.0079284,0.006887292
0.007919687,0.006864526
0.00791079,0.006841965
0.00790171,0.006819607
0.007892449,0.006797447
0.007883009,0.006775485
0.007873392,0.006753717
0.0078636,0.00673214
0.007853636,0.006710752
0.007843501,0.00668955
0.007833198,0.006668531
0.007822728,0.006647693
0.007812094,0.006627032
0.007801297,0.006606547
0.007790341,0.006586234
0.007779227,0.006566092
0.007767958,0.006546116
0.007756535,0.006526305
0.007744961,0.006506656
0.007733238,0.006487166
0.007721368,0.006467833
0.007709354,0.006448654
0.007697197,0.006429626
0.007684901,0.006410748
0.007672467,0.006392015
0.007659897,0.006373426
0.007647194,0.006354979
0.007634361,0.00633667
0.007621398,0.006318498
0.007608309,0.006300459
0.007595096,0.006282552
0.007581761,0.006264773
0.007568306,0.006247121
0.007554734,0.006229592
0.007541047,0.006212186
0.007527247,0.006194898
0.007513336,0.006177728
0.007499317,0.006160672
0.007485191,0.006143729
0.007470962,0.006126895
0.007456631,0.006110169
0.007442201,0.006093549
0.007427674,0.006077033
0.007413052,0.006060617
0.007398337,0.006044301
0.007383532,0.006028081
0.007368639,0.006011957
0.00735366,0.005995925
0.007338597,0.005979984
